year,region,species,population
2016,Gambela,Total Nonlaying Hens,7593
2017,Gambela,Total Nonlaying Hens,9082
2018,Gambela,Total Nonlaying Hens,23263
2019,Gambela,Total Nonlaying Hens,1465
2020,Gambela,Total Nonlaying Hens,19345
2003,Harari,Total Nonlaying Hens,1478
2004,Harari,Total Nonlaying Hens,1517
2005,Harari,Total Nonlaying Hens,783
2006,Harari,Total Nonlaying Hens,903
2007,Harari,Total Nonlaying Hens,1581
2008,Harari,Total Nonlaying Hens,2339
2009,Harari,Total Nonlaying Hens,1813
2010,Harari,Total Nonlaying Hens,1655
2011,Harari,Total Nonlaying Hens,1424
2012,Harari,Total Nonlaying Hens,1392
2013,Harari,Total Nonlaying Hens,1344
2014,Harari,Total Nonlaying Hens,2611
2015,Harari,Total Nonlaying Hens,2773
2016,Harari,Total Nonlaying Hens,2353
2017,Harari,Total Nonlaying Hens,2287
2018,Harari,Total Nonlaying Hens,4877
2019,Harari,Total Nonlaying Hens,6076
2020,Harari,Total Nonlaying Hens,9549
2003,Oromoa,Total Nonlaying Hens,491695
2004,Oromoa,Total Nonlaying Hens,442328
2005,Oromoa,Total Nonlaying Hens,494642
2006,Oromoa,Total Nonlaying Hens,530754
2007,Oromoa,Total Nonlaying Hens,623216
2008,Oromoa,Total Nonlaying Hens,578010
2009,Oromoa,Total Nonlaying Hens,640177
2010,Oromoa,Total Nonlaying Hens,712261
2011,Oromoa,Total Nonlaying Hens,534229
2012,Oromoa,Total Nonlaying Hens,610935
2013,Oromoa,Total Nonlaying Hens,626388
2014,Oromoa,Total Nonlaying Hens,613712
2015,Oromoa,Total Nonlaying Hens,589894
2016,Oromoa,Total Nonlaying Hens,694964
2017,Oromoa,Total Nonlaying Hens,612275
2018,Oromoa,Total Nonlaying Hens,661683
2019,Oromoa,Total Nonlaying Hens,810278
2020,Oromoa,Total Nonlaying Hens,913387
2003,SNNPR,Total Nonlaying Hens,146983
2004,SNNPR,Total Nonlaying Hens,201399
2005,SNNPR,Total Nonlaying Hens,139134
2006,SNNPR,Total Nonlaying Hens,165064
2007,SNNPR,Total Nonlaying Hens,241056
2008,SNNPR,Total Nonlaying Hens,206378
2009,SNNPR,Total Nonlaying Hens,174520
2010,SNNPR,Total Nonlaying Hens,359446
2011,SNNPR,Total Nonlaying Hens,185790
2012,SNNPR,Total Nonlaying Hens,221435
2013,SNNPR,Total Nonlaying Hens,230255
2014,SNNPR,Total Nonlaying Hens,305005
2015,SNNPR,Total Nonlaying Hens,301759
2016,SNNPR,Total Nonlaying Hens,377845
2017,SNNPR,Total Nonlaying Hens,331299
2018,SNNPR,Total Nonlaying Hens,237820
2019,SNNPR,Total Nonlaying Hens,321779
2020,SNNPR,Total Nonlaying Hens,347091
2003,Somali,Total Nonlaying Hens,10918
2004,Somali,Total Nonlaying Hens,8033
2005,Somali,Total Nonlaying Hens,4685
2006,Somali,Total Nonlaying Hens,4431
2007,Somali,Total Nonlaying Hens,8728
2008,Somali,Total Nonlaying Hens,2004
2009,Somali,Total Nonlaying Hens,3364
2010,Somali,Total Nonlaying Hens,7451
2011,Somali,Total Nonlaying Hens,5602
2012,Somali,Total Nonlaying Hens,11061
2013,Somali,Total Nonlaying Hens,8329
2014,Somali,Total Nonlaying Hens,6833
2015,Somali,Total Nonlaying Hens,15370
2016,Somali,Total Nonlaying Hens,13450
2017,Somali,Total Nonlaying Hens,12687
2018,Somali,Total Nonlaying Hens,12687
2019,Somali,Total Nonlaying Hens,113224
2020,Somali,Total Nonlaying Hens,32176
2003,Tigray,Total Nonlaying Hens,218848
2004,Tigray,Total Nonlaying Hens,206126
2005,Tigray,Total Nonlaying Hens,145609
2006,Tigray,Total Nonlaying Hens,138759
2007,Tigray,Total Nonlaying Hens,236041
2008,Tigray,Total Nonlaying Hens,218595
2009,Tigray,Total Nonlaying Hens,225914
2010,Tigray,Total Nonlaying Hens,234683
2011,Tigray,Total Nonlaying Hens,183145
2012,Tigray,Total Nonlaying Hens,282296
2013,Tigray,Total Nonlaying Hens,250219
2014,Tigray,Total Nonlaying Hens,287665
2015,Tigray,Total Nonlaying Hens,227497
2016,Tigray,Total Nonlaying Hens,110534
2017,Tigray,Total Nonlaying Hens,153699
2018,Tigray,Total Nonlaying Hens,265747
2019,Tigray,Total Nonlaying Hens,360471
2020,Tigray,Total Nonlaying Hens,360471
2003,Addis Ababa,Total Chicks,21899
2004,Addis Ababa,Total Chicks,4876
2005,Addis Ababa,Total Chicks,5642
2006,Addis Ababa,Total Chicks,4475
2007,Addis Ababa,Total Chicks,0
2008,Addis Ababa,Total Chicks,0
2009,Addis Ababa,Total Chicks,0
2010,Addis Ababa,Total Chicks,0
2011,Addis Ababa,Total Chicks,0
2012,Addis Ababa,Total Chicks,0
2013,Addis Ababa,Total Chicks,0
2014,Addis Ababa,Total Chicks,0
2015,Addis Ababa,Total Chicks,0
2016,Addis Ababa,Total Chicks,0
2017,Addis Ababa,Total Chicks,0
2018,Addis Ababa,Total Chicks,0
2010,Addis Ababa,Total Chicks,0
2020,Addis Ababa,Total Chicks,0
2003,Afar,Total Chicks,20862
2004,Afar,Total Chicks,15300
2005,Afar,Total Chicks,19088
2006,Afar,Total Chicks,21162
2007,Afar,Total Chicks,13928
2008,Afar,Total Chicks,11142
2009,Afar,Total Chicks,10902
2010,Afar,Total Chicks,27007
2011,Afar,Total Chicks,28704
2012,Afar,Total Chicks,14211
2013,Afar,Total Chicks,47278
2014,Afar,Total Chicks,46131
2015,Afar,Total Chicks,37532
2016,Afar,Total Chicks,91737
2017,Afar,Total Chicks,94137
2018,Afar,Total Chicks,65421
2019,Afar,Total Chicks,29413
2020,Afar,Total Chicks,31459
2003,Amhara,Total Chicks,5580664
2004,Amhara,Total Chicks,3192642
2005,Amhara,Total Chicks,3698834
2006,Amhara,Total Chicks,4412039
2007,Amhara,Total Chicks,4794287
2008,Amhara,Total Chicks,5131039
2009,Amhara,Total Chicks,4876295
2010,Amhara,Total Chicks,5495468
2011,Amhara,Total Chicks,6033075
2012,Amhara,Total Chicks,5937362
2013,Amhara,Total Chicks,5981024
2014,Amhara,Total Chicks,7612551
2015,Amhara,Total Chicks,8985540
2016,Amhara,Total Chicks,8680336
2017,Amhara,Total Chicks,6971590
2018,Amhara,Total Chicks,8708970
2019,Amhara,Total Chicks,5980785
2020,Amhara,Total Chicks,6945468
2003,Benishangul Gumz,Total Chicks,387769
2004,Benishangul Gumz,Total Chicks,361710
2005,Benishangul Gumz,Total Chicks,312258
2006,Benishangul Gumz,Total Chicks,365861
2007,Benishangul Gumz,Total Chicks,339583
2008,Benishangul Gumz,Total Chicks,404296
2009,Benishangul Gumz,Total Chicks,394268
2010,Benishangul Gumz,Total Chicks,549648
2011,Benishangul Gumz,Total Chicks,545795
2012,Benishangul Gumz,Total Chicks,650487
2013,Benishangul Gumz,Total Chicks,490259
2014,Benishangul Gumz,Total Chicks,664896
2015,Benishangul Gumz,Total Chicks,673511
2016,Benishangul Gumz,Total Chicks,611694
2017,Benishangul Gumz,Total Chicks,788133
2018,Benishangul Gumz,Total Chicks,674281
2019,Benishangul Gumz,Total Chicks,344329
2020,Benishangul Gumz,Total Chicks,501703
2003,Dire Dawa,Total Chicks,12213
2004,Dire Dawa,Total Chicks,9351
2005,Dire Dawa,Total Chicks,10322
2006,Dire Dawa,Total Chicks,8548
2007,Dire Dawa,Total Chicks,10624
2008,Dire Dawa,Total Chicks,8627
2009,Dire Dawa,Total Chicks,9749
2010,Dire Dawa,Total Chicks,21461
2011,Dire Dawa,Total Chicks,17053
2012,Dire Dawa,Total Chicks,19639
2013,Dire Dawa,Total Chicks,18507
2014,Dire Dawa,Total Chicks,20315
2015,Dire Dawa,Total Chicks,17275
2016,Dire Dawa,Total Chicks,30511
2017,Dire Dawa,Total Chicks,24680
2018,Dire Dawa,Total Chicks,14657
2019,Dire Dawa,Total Chicks,20771
2020,Dire Dawa,Total Chicks,16794
2003,Gambela,Total Chicks,0
2004,Gambela,Total Chicks,0
2005,Gambela,Total Chicks,0
2006,Gambela,Total Chicks,0
2007,Gambela,Total Chicks,65506
2008,Gambela,Total Chicks,78792
2009,Gambela,Total Chicks,75523
2010,Gambela,Total Chicks,107690
2011,Gambela,Total Chicks,122601
2012,Gambela,Total Chicks,115068
2013,Gambela,Total Chicks,136362
2014,Gambela,Total Chicks,120173
2015,Gambela,Total Chicks,134145
2016,Gambela,Total Chicks,157453
2017,Gambela,Total Chicks,118072
2018,Gambela,Total Chicks,162604
2019,Gambela,Total Chicks,68689
2020,Gambela,Total Chicks,95386
2003,Harari,Total Chicks,8759
2004,Harari,Total Chicks,9235
2005,Harari,Total Chicks,11565
2006,Harari,Total Chicks,8172
2007,Harari,Total Chicks,10561
2008,Harari,Total Chicks,9194
2009,Harari,Total Chicks,10473
2010,Harari,Total Chicks,14883
2011,Harari,Total Chicks,12216
2012,Harari,Total Chicks,14413
2013,Harari,Total Chicks,24101
2014,Harari,Total Chicks,19352
2015,Harari,Total Chicks,21068
2016,Harari,Total Chicks,30447
2017,Harari,Total Chicks,22077
2018,Harari,Total Chicks,21803
2019,Harari,Total Chicks,19491
2020,Harari,Total Chicks,31189
2003,Oromoa,Total Chicks,5488463
2004,Oromoa,Total Chicks,4077350
2005,Oromoa,Total Chicks,4449053
2006,Oromoa,Total Chicks,4369195
2007,Oromoa,Total Chicks,5066983
2008,Oromoa,Total Chicks,5070783
2009,Oromoa,Total Chicks,4967448
2010,Oromoa,Total Chicks,6616582
2011,Oromoa,Total Chicks,5916318
2012,Oromoa,Total Chicks,6643465
2013,Oromoa,Total Chicks,6788323
2014,Oromoa,Total Chicks,6755045
2015,Oromoa,Total Chicks,8037644
2016,Oromoa,Total Chicks,7008489
2017,Oromoa,Total Chicks,6252471
2018,Oromoa,Total Chicks,6701260
2019,Oromoa,Total Chicks,4095092
2020,Oromoa,Total Chicks,4992030
2003,SNNPR,Total Chicks,274554
2004,SNNPR,Total Chicks,2672827
2005,SNNPR,Total Chicks,2698083
2006,SNNPR,Total Chicks,2756869
2007,SNNPR,Total Chicks,2805752
2008,SNNPR,Total Chicks,2910254
2009,SNNPR,Total Chicks,3349894
2010,SNNPR,Total Chicks,3771402
2011,SNNPR,Total Chicks,3230534
2012,SNNPR,Total Chicks,4129943
2013,SNNPR,Total Chicks,4207117
2014,SNNPR,Total Chicks,3888194
2015,SNNPR,Total Chicks,4503503
2016,SNNPR,Total Chicks,3881563
2017,SNNPR,Total Chicks,3503672
2018,SNNPR,Total Chicks,3211463
2019,SNNPR,Total Chicks,2062136
2020,SNNPR,Total Chicks,2672987
2003,Somali,Total Chicks,49010
2004,Somali,Total Chicks,36402
2005,Somali,Total Chicks,22879
2006,Somali,Total Chicks,20340
2007,Somali,Total Chicks,21852
2008,Somali,Total Chicks,21862
2009,Somali,Total Chicks,14572
2010,Somali,Total Chicks,24067
2011,Somali,Total Chicks,32704
2012,Somali,Total Chicks,41247
2013,Somali,Total Chicks,67908
2014,Somali,Total Chicks,50946
2015,Somali,Total Chicks,51036
2016,Somali,Total Chicks,46338
2017,Somali,Total Chicks,48964
2018,Somali,Total Chicks,48964
2019,Somali,Total Chicks,717518
2020,Somali,Total Chicks,81362
2003,Tigray,Total Chicks,1644603
2004,Tigray,Total Chicks,1225187
2005,Tigray,Total Chicks,1290276
2006,Tigray,Total Chicks,1434518
2007,Tigray,Total Chicks,1610678
2008,Tigray,Total Chicks,1369350
2009,Tigray,Total Chicks,1613931
2010,Tigray,Total Chicks,1666593
2011,Tigray,Total Chicks,2068499
2012,Tigray,Total Chicks,2036848
2013,Tigray,Total Chicks,1907218
2014,Tigray,Total Chicks,2251786
2015,Tigray,Total Chicks,2479793
2016,Tigray,Total Chicks,2029765
2017,Tigray,Total Chicks,2029699
2018,Tigray,Total Chicks,2036688
2019,Tigray,Total Chicks,2143871
2020,Tigray,Total Chicks,2827139
2003,Addis Ababa,Total Laying Hens,24962
2004,Addis Ababa,Total Laying Hens,9810
2005,Addis Ababa,Total Laying Hens,10698
2006,Addis Ababa,Total Laying Hens,11956
2007,Addis Ababa,Total Laying Hens,0
2008,Addis Ababa,Total Laying Hens,0
2009,Addis Ababa,Total Laying Hens,0
2010,Addis Ababa,Total Laying Hens,0
2011,Addis Ababa,Total Laying Hens,0
2012,Addis Ababa,Total Laying Hens,0
2013,Addis Ababa,Total Laying Hens,0
2014,Addis Ababa,Total Laying Hens,0
2015,Addis Ababa,Total Laying Hens,0
2016,Addis Ababa,Total Laying Hens,0
2017,Addis Ababa,Total Laying Hens,0
2018,Addis Ababa,Total Laying Hens,0
2010,Addis Ababa,Total Laying Hens,0
2020,Addis Ababa,Total Laying Hens,0
2003,Afar,Total Laying Hens,13264
2004,Afar,Total Laying Hens,12276
2005,Afar,Total Laying Hens,14800
2006,Afar,Total Laying Hens,11371
2007,Afar,Total Laying Hens,16858
2008,Afar,Total Laying Hens,7993
2009,Afar,Total Laying Hens,7859
2010,Afar,Total Laying Hens,15115
2011,Afar,Total Laying Hens,9862
2012,Afar,Total Laying Hens,10075
2013,Afar,Total Laying Hens,37836
2014,Afar,Total Laying Hens,36912
2015,Afar,Total Laying Hens,20436
2016,Afar,Total Laying Hens,37465
2017,Afar,Total Laying Hens,57766
2018,Afar,Total Laying Hens,59051
2019,Afar,Total Laying Hens,26973
2020,Afar,Total Laying Hens,24534
2003,Amhara,Total Laying Hens,2838747
2004,Amhara,Total Laying Hens,2891509
2005,Amhara,Total Laying Hens,3087184
2006,Amhara,Total Laying Hens,3302897
2007,Amhara,Total Laying Hens,4053741
2008,Amhara,Total Laying Hens,4147262
2009,Amhara,Total Laying Hens,4351151
2010,Amhara,Total Laying Hens,4521710
2011,Amhara,Total Laying Hens,4360765
2012,Amhara,Total Laying Hens,4772722
2013,Amhara,Total Laying Hens,4770945
2014,Amhara,Total Laying Hens,5546048
2015,Amhara,Total Laying Hens,6101583
2016,Amhara,Total Laying Hens,6104588
2017,Amhara,Total Laying Hens,6042707
2018,Amhara,Total Laying Hens,5891091
2019,Amhara,Total Laying Hens,5536547
2020,Amhara,Total Laying Hens,6193640
2003,Benishangul Gumz,Total Laying Hens,170758
2004,Benishangul Gumz,Total Laying Hens,170168
2005,Benishangul Gumz,Total Laying Hens,152091
2006,Benishangul Gumz,Total Laying Hens,160922
2007,Benishangul Gumz,Total Laying Hens,160465
2008,Benishangul Gumz,Total Laying Hens,158705
2009,Benishangul Gumz,Total Laying Hens,178056
2010,Benishangul Gumz,Total Laying Hens,253852
2011,Benishangul Gumz,Total Laying Hens,256237
2012,Benishangul Gumz,Total Laying Hens,282367
2013,Benishangul Gumz,Total Laying Hens,228428
2014,Benishangul Gumz,Total Laying Hens,303410
2015,Benishangul Gumz,Total Laying Hens,287941
2016,Benishangul Gumz,Total Laying Hens,280000
2017,Benishangul Gumz,Total Laying Hens,372296
2018,Benishangul Gumz,Total Laying Hens,320284
2019,Benishangul Gumz,Total Laying Hens,209979
2020,Benishangul Gumz,Total Laying Hens,240636
2003,Dire Dawa,Total Laying Hens,20622
2004,Dire Dawa,Total Laying Hens,20912
2005,Dire Dawa,Total Laying Hens,23733
2006,Dire Dawa,Total Laying Hens,25599
2007,Dire Dawa,Total Laying Hens,29499
2008,Dire Dawa,Total Laying Hens,25487
2009,Dire Dawa,Total Laying Hens,27979
2010,Dire Dawa,Total Laying Hens,35838
2011,Dire Dawa,Total Laying Hens,38558
2012,Dire Dawa,Total Laying Hens,40020
2013,Dire Dawa,Total Laying Hens,38686
2014,Dire Dawa,Total Laying Hens,42718
2015,Dire Dawa,Total Laying Hens,43800
2016,Dire Dawa,Total Laying Hens,43561
2017,Dire Dawa,Total Laying Hens,46325
2018,Dire Dawa,Total Laying Hens,40375
2019,Dire Dawa,Total Laying Hens,63446
2020,Dire Dawa,Total Laying Hens,66382
2003,Gambela,Total Laying Hens,0
2004,Gambela,Total Laying Hens,0
2005,Gambela,Total Laying Hens,0
2006,Gambela,Total Laying Hens,0
2007,Gambela,Total Laying Hens,41747
2008,Gambela,Total Laying Hens,44883
2009,Gambela,Total Laying Hens,46984
2010,Gambela,Total Laying Hens,70429
2011,Gambela,Total Laying Hens,68361
2012,Gambela,Total Laying Hens,72772
2013,Gambela,Total Laying Hens,87127
2014,Gambela,Total Laying Hens,76872
2015,Gambela,Total Laying Hens,95427
2016,Gambela,Total Laying Hens,96330
2017,Gambela,Total Laying Hens,78911
2018,Gambela,Total Laying Hens,121206
2019,Gambela,Total Laying Hens,72078
2020,Gambela,Total Laying Hens,75062
2003,Harari,Total Laying Hens,10265
2004,Harari,Total Laying Hens,10609
2005,Harari,Total Laying Hens,11750
2006,Harari,Total Laying Hens,11878
2007,Harari,Total Laying Hens,12770
2008,Harari,Total Laying Hens,12497
2009,Harari,Total Laying Hens,13573
2010,Harari,Total Laying Hens,19237
2011,Harari,Total Laying Hens,16697
2012,Harari,Total Laying Hens,17719
2013,Harari,Total Laying Hens,25027
2014,Harari,Total Laying Hens,26569
2015,Harari,Total Laying Hens,31123
2016,Harari,Total Laying Hens,31178
2017,Harari,Total Laying Hens,42545
2018,Harari,Total Laying Hens,28593
2019,Harari,Total Laying Hens,42485
2020,Harari,Total Laying Hens,40996
2003,Oromoa,Total Laying Hens,3669670
2004,Oromoa,Total Laying Hens,4014677
2005,Oromoa,Total Laying Hens,4322999
2006,Oromoa,Total Laying Hens,4502998
2007,Oromoa,Total Laying Hens,4864086
2008,Oromoa,Total Laying Hens,4794611
2009,Oromoa,Total Laying Hens,5525457
2010,Oromoa,Total Laying Hens,6391025
2011,Oromoa,Total Laying Hens,6009499
2012,Oromoa,Total Laying Hens,6637193
2013,Oromoa,Total Laying Hens,6907467
2014,Oromoa,Total Laying Hens,7431480
2015,Oromoa,Total Laying Hens,7438658
2016,Oromoa,Total Laying Hens,7346650
2017,Oromoa,Total Laying Hens,6868667
2018,Oromoa,Total Laying Hens,7659771
2019,Oromoa,Total Laying Hens,7074846
2020,Oromoa,Total Laying Hens,7435573
2003,SNNPR,Total Laying Hens,193585
2004,SNNPR,Total Laying Hens,2134500
2005,SNNPR,Total Laying Hens,2083106
2006,SNNPR,Total Laying Hens,2109287
2007,SNNPR,Total Laying Hens,2537466
2008,SNNPR,Total Laying Hens,2145465
2009,SNNPR,Total Laying Hens,2703152
2010,SNNPR,Total Laying Hens,3336701
2011,SNNPR,Total Laying Hens,2678851
2012,SNNPR,Total Laying Hens,3141332
2013,SNNPR,Total Laying Hens,3388335
2014,SNNPR,Total Laying Hens,3465272
2015,SNNPR,Total Laying Hens,3415849
2016,SNNPR,Total Laying Hens,3921212
2017,SNNPR,Total Laying Hens,3783298
2018,SNNPR,Total Laying Hens,3211607
2019,SNNPR,Total Laying Hens,2793997
2020,SNNPR,Total Laying Hens,2546722
2003,Somali,Total Laying Hens,61464
2004,Somali,Total Laying Hens,61009
2005,Somali,Total Laying Hens,38475
2006,Somali,Total Laying Hens,45795
2007,Somali,Total Laying Hens,45424
2008,Somali,Total Laying Hens,27632
2009,Somali,Total Laying Hens,19506
2010,Somali,Total Laying Hens,37323
2011,Somali,Total Laying Hens,37514
2012,Somali,Total Laying Hens,53993
2013,Somali,Total Laying Hens,62679
2014,Somali,Total Laying Hens,58673
2015,Somali,Total Laying Hens,55652
2016,Somali,Total Laying Hens,45987
2017,Somali,Total Laying Hens,78930
2018,Somali,Total Laying Hens,78930
2019,Somali,Total Laying Hens,478452
2020,Somali,Total Laying Hens,89693
2003,Tigray,Total Laying Hens,859726
2004,Tigray,Total Laying Hens,880067
2005,Tigray,Total Laying Hens,856455
2006,Tigray,Total Laying Hens,954386
2007,Tigray,Total Laying Hens,1172201
2008,Tigray,Total Laying Hens,1168463
2009,Tigray,Total Laying Hens,1212691
2010,Tigray,Total Laying Hens,1212112
2011,Tigray,Total Laying Hens,1337705
2012,Tigray,Total Laying Hens,1478046
2013,Tigray,Total Laying Hens,1565029
2014,Tigray,Total Laying Hens,1833692
2015,Tigray,Total Laying Hens,2008257
2016,Tigray,Total Laying Hens,2005315
2017,Tigray,Total Laying Hens,2208722
2018,Tigray,Total Laying Hens,2138920
2019,Tigray,Total Laying Hens,2090458
2020,Tigray,Total Laying Hens,2090458
2003,Addis Ababa,Total Indigenous Poultry,0
2004,Addis Ababa,Total Indigenous Poultry,19070
2005,Addis Ababa,Total Indigenous Poultry,20938
2006,Addis Ababa,Total Indigenous Poultry,19607
2007,Addis Ababa,Total Indigenous Poultry,0
2008,Addis Ababa,Total Indigenous Poultry,0
2009,Addis Ababa,Total Indigenous Poultry,0
2010,Addis Ababa,Total Indigenous Poultry,0
2011,Addis Ababa,Total Indigenous Poultry,0
2012,Addis Ababa,Total Indigenous Poultry,0
2013,Addis Ababa,Total Indigenous Poultry,0
2014,Addis Ababa,Total Indigenous Poultry,0
2015,Addis Ababa,Total Indigenous Poultry,0
2016,Addis Ababa,Total Indigenous Poultry,0
2017,Addis Ababa,Total Indigenous Poultry,0
2018,Addis Ababa,Total Indigenous Poultry,0
2010,Addis Ababa,Total Indigenous Poultry,0
2020,Addis Ababa,Total Indigenous Poultry,0
2003,Afar,Total Indigenous Poultry,0
2004,Afar,Total Indigenous Poultry,38095
2005,Afar,Total Indigenous Poultry,49054
2006,Afar,Total Indigenous Poultry,43720
2007,Afar,Total Indigenous Poultry,53392
2008,Afar,Total Indigenous Poultry,25296
2009,Afar,Total Indigenous Poultry,26506
2010,Afar,Total Indigenous Poultry,66282
2011,Afar,Total Indigenous Poultry,56797
2012,Afar,Total Indigenous Poultry,42789
2013,Afar,Total Indigenous Poultry,112021
2014,Afar,Total Indigenous Poultry,131501
2015,Afar,Total Indigenous Poultry,105365
2016,Afar,Total Indigenous Poultry,192652
2017,Afar,Total Indigenous Poultry,203919
2018,Afar,Total Indigenous Poultry,174506
2019,Afar,Total Indigenous Poultry,84428
2020,Afar,Total Indigenous Poultry,83138
2003,Amhara,Total Indigenous Poultry,0
2004,Amhara,Total Indigenous Poultry,8329377
2005,Amhara,Total Indigenous Poultry,8918815
2006,Amhara,Total Indigenous Poultry,9983180
2007,Amhara,Total Indigenous Poultry,12045486
2008,Amhara,Total Indigenous Poultry,12325103
2009,Amhara,Total Indigenous Poultry,12297019
2010,Amhara,Total Indigenous Poultry,13587396
2011,Amhara,Total Indigenous Poultry,13597741
2012,Amhara,Total Indigenous Poultry,14154431
2013,Amhara,Total Indigenous Poultry,14085095
2014,Amhara,Total Indigenous Poultry,17311216
2015,Amhara,Total Indigenous Poultry,18947005
2016,Amhara,Total Indigenous Poultry,18019984
2017,Amhara,Total Indigenous Poultry,15541443
2018,Amhara,Total Indigenous Poultry,17958175
2019,Amhara,Total Indigenous Poultry,14709577
2020,Amhara,Total Indigenous Poultry,16307775
2003,Benishangul Gumz,Total Indigenous Poultry,0
2004,Benishangul Gumz,Total Indigenous Poultry,729501
2005,Benishangul Gumz,Total Indigenous Poultry,625593
2006,Benishangul Gumz,Total Indigenous Poultry,735343
2007,Benishangul Gumz,Total Indigenous Poultry,705923
2008,Benishangul Gumz,Total Indigenous Poultry,771746
2009,Benishangul Gumz,Total Indigenous Poultry,819158
2010,Benishangul Gumz,Total Indigenous Poultry,1144145
2011,Benishangul Gumz,Total Indigenous Poultry,1132641
2012,Benishangul Gumz,Total Indigenous Poultry,1293358
2013,Benishangul Gumz,Total Indigenous Poultry,1035959
2014,Benishangul Gumz,Total Indigenous Poultry,1357468
2015,Benishangul Gumz,Total Indigenous Poultry,1326347
2016,Benishangul Gumz,Total Indigenous Poultry,1224932
2017,Benishangul Gumz,Total Indigenous Poultry,1628598
2018,Benishangul Gumz,Total Indigenous Poultry,1467128
